company_name,cin,other_name,other_cin
A-ONE PHTHALO COLORS PRIVATE LIMITED,U24224GJ2013PTC076979,A-One Phthalo Colors Private Limited,
TRIMCO GROUP (DELHI) PRIVATE LIMITED,U17299DL2003PTC123288,A-TEX (INDIA) PRIVATE LIMITED;A-TEX INDIA PRIVATE LIMITED,
A. K. CAPITAL CORPORATION PRIVATE LIMITED,U65993MH2006PTC165749,A. K. Capital Corporation Private Limited;A. K. CAPITAL CORPORATION PRIVATELIMITED,
A. K. CAPITAL FINANCE LIMITED,U51900MH2006PLC214277,A. K. Capital Finance Private Limited;GIRDHAR VANIJYA PVT LTD,U51900MH2006PTC214277
A. K. TRADING (PAPER) PRIVATE LIMITED,U52190WB2011PTC158216,A. K. TRADING PAPER PRIVATE LIMITED,
A. K. WEALTH MANAGEMENT PRIVATE LIMITED,U74140MH2006PTC165653,A. K. Wealth Management Private Limited,
PRIME STEEL INDUSTRIES PRIVATE LIMITED,U27109PB2007PTC031088,A. M. IRON AND STEEL ROLLING MILLS PRIV LIMITED;A. M. IRON AND STEEL ROLLING MILLS PRIVATE LIMITED;A. M. IRON AND STEEL ROLLING MILLSPRIVATE LIMITED,
A. O. SMITH INDIA WATER PRODUCTS PRIVATE LIMITED,U31909KA2006PTC040282,A. O. SMITH INDIA WATER HEATING PRIVATE LIMITED;A. O. Smith India Water Products Private Limited;A. O. SMITH WATER HEATING PRIVATE LIMITED,
A. P. T. RESEARCH PRIVATE LIMITED,U74140GJ2009PTC121607,A. P. T. PORTFOLIO PRIVATE LIMITED,U74140HR2009PTC039673
A. S. COMMODITIES PRIVATE LIMITED,U02005UP2006PTC032576,A. S. Commodities Private Limited,
A. SHRIDHAR CONSTRUCTIONS PRIVATE LIMITED,U32109GJ1990PTC014300,A. SHRIDHAR CONSTRUCTIONS PRIVATELIMITED;SHRIDHAR CONSTRUCTION PRIVATE LIMITED;SHRIDHAR ELECTRONICS LTD,
A.T.E. PRIVATE LIMITED,U74140MH1971PTC015101,A. T. E. ENTERPRISES PRIVATE LIMITED;A.T.E. Private Limited;FERRITE MANUFACTURING CO. PVT LTD,
A.T.E. ENTERPRISES PRIVATE LIMITED.,U51503MH2001PTC132921,A. T. E. MARKETING PRIVATE LIMITED;A.T.E. Enterprises Private Limited.;A.T.E.TRADING PRIVATE LIMITED,
A.T. TRADE OVERSEAS PRIVATE LIMITED,U99999MH1997PTC110234,A. T. TEXTILES PRIVATE LIMITED,
A. V. B. FINANCE PRIVATE LIMITED.,U65993DL1992PTC049818,A. V. B. FINANCE Private LIMITED.;DABUR FINANCE LIMITED,
A.B. GRAIN SPIRITS PRIVATE LIMITED,U15500PB2005PTC027841,A.B. GRAIN SPIRITS PRIV LIMITED,U11011PB2005PTC027841
A.B. GRAIN SPIRITS PRIVATE LIMITED,U15500PB2005PTC027841,A.B. GRAIN SPIRITS PRIV LIMITED,
A.B.MOTORS PRIVATE LIMITED,U29246PB1997PTC019843,A.B.MOTORS PRIV LIMITED,
ADS SPIRITS PRIVATE LIMITED,U36100DL2010PTC201465,A.D.S. SPIRITS PRIVATE LIMITED,
A.EBERLE SYSTEMS PRIVATE LIMITED,U29299MH2007PTC173327,A.Eberle Systems Private Limited,
A.G. ADVANCE CHEMICALS PRIVATE LIMITED,U74899DL1990PTC041185,A.G. DEVELOPERS PRIVATE LIMITED,
GRAND PRIX ENGINEERING PRIVATE LIMITED,U27310DL1989PTC220107,A.G. STEELS PVT.LTD.;GRAND PRIX FAB PVT LTD,
